PaperID,Author,Year,Study,Subgroup,Gesture,Comparison,Baseline,Age (days),N,d,var(d),Presentation time (seconds),Response time (seconds),Modelling while responding,Setting of Data Collection,Who Delivers the Modelling,Exposure Quantity,Exposure Duration Per Slice,Response Quantity,Response Duration Per Slice,Total Exposure Duration,Total Response Duration,Trials-to-criterion,Infant Alertness Measured,How was Infant Alertness Measured,AlertM,Measure of Alertness or Attention by Infants,Reports How Sample Size Was Determined,Reports Statistical Power,Analysis Method,Analysis Method category,Analysis Method Appropriate for Correlated Data,Analysis Method Appropriate for Counts,Initial Sample Size,Number of Dropouts,Reported Participant Flow,Reason for Dropouts,Final Sample Size,Proportion of Sample Dropped
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Third position,Mouth opening,Tongue protrusion,0,1.683333333,14,1.16834004,0.182115767,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Third position,Mouth opening,Tongue protrusion,0,1.683333333,14,0.553846154,0.160198873,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Coulon2013,Coulon,2013,Coulon2013_1,Visual-only condition,Mouth opening,Baseline,1,1.791666667,12,1.454922678,0.234300826,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_1,Visual-only condition,Mouth opening,Lip spreading,0,1.791666667,12,1.454922678,0.234300826,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_1,Visual-only condition,Lip spreading,Baseline,1,1.791666667,12,1.454922678,0.234300826,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_1,Visual-only condition,Lip spreading,Mouth opening,0,1.791666667,12,1.454922678,0.234300826,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_2,Audiovisual congruent condition,Mouth opening,Baseline,1,1.791666667,12,1.558845727,0.242066116,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_2,Audiovisual congruent condition,Mouth opening,Lip spreading,0,1.791666667,12,1.616580754,0.24661157,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_2,Audiovisual congruent condition,Lip spreading,Baseline,1,1.791666667,12,1.616580754,0.24661157,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Coulon2013,Coulon,2013,Coulon2013_2,Audiovisual congruent condition,Lip spreading,Mouth opening,0,1.791666667,12,1.616580754,0.24661157,24,24,0,Hospital,Experimenter,4,24,4,24,96,96,0,Yes,Looking time,Looking,Looked at video for 84.25% of the time (SE = 1.76),No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,48,12,1,"7 fussiness, 4 sleepiness, 1 experimental error",36,0.333333333
Field1983,Field,1983,Field1983_1,,Happy expression (wide lips),Baseline,1,1.458333333,96,0.594905911,0.044475761,,,1,Not reported,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,,,1,Yes,Fixations,Looking,Not reported,No,No,Repeated measures analysis of variance,ANOVA,Yes,No,,,0,Not reported,96,
Field1983,Field,1983,Field1983_1,,Sad expression (pouting lips),Baseline,1,1.458333333,96,0.640651842,0.044782806,,,1,Not reported,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,,,1,Yes,Fixations,Looking,Not reported,No,No,Repeated measures analysis of variance,ANOVA,Yes,No,,,0,Not reported,96,
Field1983,Field,1983,Field1983_1,,Surprised expression (wide open mouth),Baseline,1,1.458333333,96,0.769528371,0.045770071,,,1,Not reported,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,,,1,Yes,Fixations,Looking,Not reported,No,No,Repeated measures analysis of variance,ANOVA,Yes,No,,,0,Not reported,96,
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Tongue protrusion,Average of other gestures,0,30,83,0.181107703,0.024491463,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Mouth opening,Average of other gestures,0,30,83,-0.08392796,0.024411981,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Cheek swelling,Average of other gestures,0,30,83,0.022086305,0.024391749,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Eye closing,Average of other gestures,0,30,83,0.039755349,0.024395121,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Hand opening,Index finger point,0,30,83,0.112640157,0.024429398,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Fontaine1984,Fontaine,1984,Fontaine1984_1,,Index finger point,Hand opening,0,30,83,-0.176690442,0.024486586,20,30,0,Hospital,Experimenter,4,20,4,30,80,120,0,No,Not reported,Not reported,Not reported,No,No,T tests for normal distribution of a simple difference score,Difference score,Yes,No,169,86,1,"66 for crying, 20 for falling asleep",83,1.036144578
Heimann1985,Heimann,1985,Heimann1985_1,,Mouth opening,Baseline,1,17.9,11,-0.587135108,0.20948001,,60,0,Home,Mother,1,Not reported,1,60,,60,0,Yes,Mother judged infant to be in an alert state,Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,30,17,1,"2 for sibling disturbance, 15 for sleepiness",13,1.307692308
Heimann1985,Heimann,1985,Heimann1985_1,,Mouth opening,Tongue protrusion,0,17.9,11,0.769580054,0.21628697,,60,0,Home,Mother,1,Not reported,1,60,,60,0,Yes,Mother judged infant to be in an alert state,Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,30,17,1,"2 for sibling disturbance, 15 for sleepiness",13,1.307692308
Heimann1985,Heimann,1985,Heimann1985_1,,Tongue protrusion,Baseline,1,17.9,11,0.813737023,0.218209618,,60,0,Home,Mother,1,Not reported,1,60,,60,0,Yes,Mother judged infant to be in an alert state,Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,30,17,1,"2 for sibling disturbance, 15 for sleepiness",13,1.307692308
Heimann1985,Heimann,1985,Heimann1985_1,,Tongue protrusion,Mouth opening,0,17.9,11,0.226601915,0.201412082,,60,0,Home,Mother,1,Not reported,1,60,,60,0,Yes,Mother judged infant to be in an alert state,Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,30,17,1,"2 for sibling disturbance, 15 for sleepiness",13,1.307692308
Heimann1989,Heimann,1989,Heimann1989_1,Time 1,Tongue protrusion,Baseline,1,2.5,23,0.25373783,0.09167397,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_1,Time 1,Tongue protrusion,Mouth opening,0,2.5,23,0.181491035,0.091300412,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_1,Time 1,Mouth opening,Baseline,1,2.5,23,-0.072246795,0.090971101,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_1,Time 1,Mouth opening,Tongue protrusion,0,2.5,23,0.181491035,0.091300412,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_2,Time 2,Tongue protrusion,Baseline,1,21,24,0.258694336,0.08771557,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_2,Time 2,Tongue protrusion,Mouth opening,0,21,24,0.068096678,0.087009117,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_2,Time 2,Mouth opening,Baseline,1,21,24,-0.190597659,0.087368554,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Heimann1989,Heimann,1989,Heimann1989_2,Time 2,Mouth opening,Tongue protrusion,0,21,24,0.068096678,0.087009117,37,,1,Hospital,Experimenter,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,Trials-to-criterion,37,60,0,Yes,"Just says ""when the infant was judged by experimenter A to be awake and alert""",Experimenter judge,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,32,9,1,fussy or not enough time in alert state,23,0.391304348
Kennedy2017,Kennedy,2017,Kennedy2017_1,,Tongue protrusion,Mouth opening,0,8.35,48,0.208302258,0.042788899,30,30,0,Home,Experimenter,2,30,4,30,120,120,0,Yes,"Just says ""in a quiet, alert state""",Experimenter judge,Not reported,No,No,Repeated measures t tests,t-test,Yes,No,,,0,Not reported,13,
Kennedy2017,Kennedy,2017,Kennedy2017_1,,Mouth opening,Tongue protrusion,0,8.35,48,-0.152127766,0.042678911,30,30,0,Home,Experimenter,2,30,4,30,120,120,0,Yes,"Just says ""in a quiet, alert state""",Experimenter judge,Not reported,No,No,Repeated measures t tests,t-test,Yes,No,,,0,Not reported,13,
Kennedy2017,Kennedy,2017,Kennedy2017_1,,Tongue protrusion,Tube protrusion,0,8.35,48,0.177087549,0.042723549,30,30,0,Home,Experimenter,2,30,4,30,120,120,0,Yes,"Just says ""in a quiet, alert state""",Experimenter judge,Not reported,No,No,Repeated measures t tests,t-test,Yes,No,,,0,Not reported,13,
Kennedy2017,Kennedy,2017,Kennedy2017_1,,Mouth opening,Box opening,0,8.35,48,0.01754116,0.042554863,30,30,0,Home,Experimenter,2,30,4,30,120,120,0,Yes,"Just says ""in a quiet, alert state""",Experimenter judge,Not reported,No,No,Repeated measures t tests,t-test,Yes,No,,,0,Not reported,13,
Koepke1983,Koepke,1983,Koepke1983_1,,Tongue protrusion,Baseline,1,19,14,-0.035425302,0.153872144,15,20,0,University,Experimenter,1,15,4,20,60,80,0,Yes,"Just says ""when babies were alert and attentive""",Experimenter judge,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements and then ANOVA with random effects,ANOVA,Yes,No,11,5,1,Too fussy or sleepy to complete the experiment,6,0.833333333
Koepke1983,Koepke,1983,Koepke1983_1,,Tongue protrusion,Mouth opening,0,19,14,0.018335667,0.153853116,15,20,0,University,Experimenter,1,15,4,20,60,80,0,Yes,"Just says ""when babies were alert and attentive""",Experimenter judge,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements and then ANOVA with random effects,ANOVA,Yes,No,11,5,1,Too fussy or sleepy to complete the experiment,6,0.833333333
Koepke1983,Koepke,1983,Koepke1983_1,,Mouth opening,Baseline,1,19,14,0.053760969,0.153906011,15,20,0,University,Experimenter,1,15,4,20,60,80,0,Yes,"Just says ""when babies were alert and attentive""",Experimenter judge,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements and then ANOVA with random effects,ANOVA,Yes,No,11,5,1,Too fussy or sleepy to complete the experiment,6,0.833333333
Koepke1983,Koepke,1983,Koepke1983_1,,Mouth opening,Tongue protrusion,0,19,14,0.018335667,0.153853116,15,20,0,University,Experimenter,1,15,4,20,60,80,0,Yes,"Just says ""when babies were alert and attentive""",Experimenter judge,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements and then ANOVA with random effects,ANOVA,Yes,No,11,5,1,Too fussy or sleepy to complete the experiment,6,0.833333333
Legerstee1991,Legerstee,1991,Legerstee1991_1,modeling phase,Tongue protrusion,Mouth opening,0,46.2,12,0.059049019,0.181904631,25,25,1,University,Experimenter,3,15,3,15,90,90,0,Yes,"Just says ""when they had achieved a state of alert inactivity""",Experimenter judge,Not reported,No,No,Two way analysis of variance with within-subject variable,ANOVA,Yes,No,54,24,1,"9 experimenter error, 15 not in a quiet alert state",30,0.8
Legerstee1991,Legerstee,1991,Legerstee1991_1,response phase,Tongue protrusion,Mouth opening,0,46.2,12,-0.189729927,0.18271068,25,25,0,University,Experimenter,3,15,3,15,90,90,0,Yes,"Just says ""when they had achieved a state of alert inactivity""",Experimenter judge,Not reported,No,No,Two way analysis of variance with within-subject variable,ANOVA,Yes,No,54,24,1,"9 experimenter error, 15 not in a quiet alert state",30,0.8
Legerstee1991,Legerstee,1991,Legerstee1991_1,modeling phase,Mouth opening,Tongue protrusion,0,46.2,12,0.059049019,0.181904631,25,25,1,University,Experimenter,3,15,3,15,90,90,0,Yes,"Just says ""when they had achieved a state of alert inactivity""",Experimenter judge,Not reported,No,No,Two way analysis of variance with within-subject variable,ANOVA,Yes,No,54,24,1,"9 experimenter error, 15 not in a quiet alert state",30,0.8
Legerstee1991,Legerstee,1991,Legerstee1991_1,response phase,Mouth opening,Tongue protrusion,0,46.2,12,-0.189729927,0.18271068,25,25,0,University,Experimenter,3,15,3,15,90,90,0,Yes,"Just says ""when they had achieved a state of alert inactivity""",Experimenter judge,Not reported,No,No,Two way analysis of variance with within-subject variable,ANOVA,Yes,No,54,24,1,"9 experimenter error, 15 not in a quiet alert state",30,0.8
McKenzie1983,McKenzie,1983,McKenzie1983_1,modeling phase,Mouth opening,All other conditions,0,22.5,14,0.317683926,0.155936277,15,60,1,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,response phase,Mouth opening,All other conditions,0,22.5,14,0.56785697,0.160524351,15,60,0,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,modeling phase,Tongue protrusion,All other conditions,0,22.5,14,0.452004084,0.158077378,15,60,1,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,response phase,Tongue protrusion,All other conditions,0,22.5,14,0.698129369,0.163939918,15,60,0,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,modeling phase,Arm raising,All other conditions,0,22.5,14,0.210493925,0.154763769,15,60,1,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,response phase,Arm raising,All other conditions,0,22.5,14,0.692820323,0.163786982,15,60,0,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,modeling phase,Hand to mouth,All other conditions,0,22.5,14,0.503526029,0.15909695,15,60,1,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
McKenzie1983,McKenzie,1983,McKenzie1983_1,response phase,Hand to mouth,All other conditions,0,22.5,14,0.390660191,0.157006827,15,60,0,Not reported,Experimenter,1,15,1,60,15,60,0,Yes,"Just says ""A new trial was not begun until the infant was active and alert""",Experimenter judge,Not reported,No,No,Analysis of variance,ANOVA,Unclear,No,,,0,Not reported,14,
Meltzoff1977,Meltzoff,1977,Meltzoff1977_1,Experiment 1,Lip protrusion,,0,14.3,6,3.606458322,1.180392498,,90,1,Not reported,Experimenter,Trials-to-criterion,15,1,20,,20,0,No,Not reported,Not reported,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements,Q test,No,Unclear,,,0,Not reported,6,
Meltzoff1977,Meltzoff,1977,Meltzoff1977_1,Experiment 1,Mouth opening,,0,14.3,6,3.009684887,0.943492187,,90,1,Not reported,Experimenter,Trials-to-criterion,15,1,20,,20,0,No,Not reported,Not reported,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements,Q test,No,Unclear,,,0,Not reported,6,
Meltzoff1977,Meltzoff,1977,Meltzoff1977_1,Experiment 1,Tongue protrusion,,0,14.3,6,2.29919829,0.717178767,,90,1,Not reported,Experimenter,Trials-to-criterion,15,1,20,,20,0,No,Not reported,Not reported,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements,Q test,No,Unclear,,,0,Not reported,6,
Meltzoff1977,Meltzoff,1977,Meltzoff1977_1,Experiment 1,Sequential finger movement,,0,14.3,6,6.143665304,2.664677402,,90,1,Not reported,Experimenter,Trials-to-criterion,15,1,20,,20,0,No,Not reported,Not reported,Not reported,No,No,Cochran's Q test for collapsed ranks of yes/no judgements,Q test,No,Unclear,,,0,Not reported,6,
